X,Y,prediction
398137,7328131,1
398568,7329174,1
407975,7337521,1
408352,7337809,1
409969,7338369,1
410255,7338337,1
415785,7339619,1
416774,7339708,1
417868,7340080,1
422135,7341384,1
425589,7349067,1
425105,7350786,1
425256,7352071,1
425902,7353186,1
425807,7358749,1
425840,7359395,1
427303,7361842,1
427614,7362384,1
427681,7362523,1
427683,7362530,1
428090,7365726,1
429282,7367494,1
434405,7369352,1
434690,7369550,1
435956,7370370,1
436664,7371185,1
437517,7372129,1
441789,7375146,1
441820,7375167,1
442065,7375221,1
442171,7375248,1
442652,7375636,1
442687,7375673,1
442795,7375867,1
442797,7375870,1
442856,7375964,1
442908,7376072,1
443820,7377395,1
444407,7378196,1
445405,7379910,1
447583,7380889,1
448667,7381034,1
448672,7381024,1
449063,7381159,1
451390,7382502,1
452675,7383075,1
453210,7383411,1
454106,7383566,1
459800,7387856,1
464632,7394875,1
468276,7401098,1
465429,7411570,1
464219,7418848,1
465058,7420335,1
465229,7423081,1
468390,7424602,1
484573,7450523,1
484111,7454292,1
484887,7456639,1
485393,7457506,1
485515,7457694,1
485988,7458825,1
486171,7459383,1
486192,7460674,1
486227,7461059,1
486187,7466679,1
482675,7474371,1
482273,7474910,1
481702,7476952,1
481744,7476980,1
482336,7478497,1
481696,7479869,1
482022,7481702,1
487610,7492893,1
488958,7495832,1
488934,7497821,1
488154,7504197,1
488217,7524674,1
491756,7538848,1
495662,7543008,1
504869,7553244,1
504368,7557852,1
503913,7562488,1
516570,7588564,1
517626,7594664,1
518728,7597820,1
522078,7614745,1
522094,7615360,1
521836,7616884,1
514278,7633168,1
508106,7638583,1
505149,7640832,1
502254,7643317,1
499832,7653239,1
508951,7669600,1
506137,7722820,1
500580,7740040,1
451446,6797072,0
452047,6797426,0
452641,6797766,0
453028,6797991,0
453446,6798220,0
453652,6798332,0
453998,6798528,0
459028,6802893,0
460340,6803745,0
461581,6804070,0
467628,6807840,0
472656,6811480,0
475858,6811396,0
483471,6812496,0
483655,6812632,0
485039,6814302,0
486658,6816190,0
489171,6819025,0
497501,6825251,0
500308,6827551,0
501329,6828505,0
501658,6828790,0
501919,6829014,0
502299,6830318,0
502359,6830809,0
502556,6831154,0
503942,6834091,0
507187,6835540,0
507353,6835596,0
509887,6835603,0
510152,6835731,0
510375,6835886,0
510494,6835968,0
512387,6837862,0
512755,6838162,0
512848,6838193,0
513150,6838267,0
513166,6838270,0
514485,6838654,0
514504,6838657,0
514523,6838671,0
515229,6839315,0
515480,6839414,0
515485,6839415,0
515591,6839458,0
516075,6839856,0
517152,6841180,0
517371,6841267,0
517783,6841357,0
518384,6841267,0
519090,6841123,0
520210,6841259,0
520239,6841261,0
520280,6841263,0
520567,6841265,0
520828,6841305,0
521138,6841494,0
522154,6841757,0
523971,6842174,0
523997,6842199,0
524017,6842218,0
524978,6843176,0
525089,6843289,0
526894,6844432,0
526940,6844501,0
527057,6844672,0
527509,6845056,0
528746,6846569,0
529713,6847309,0
529716,6847311,0
531427,6850036,0
532657,6853835,0
532805,6854052,0
533026,6854369,0
533683,6855235,0
535884,6857242,0
536175,6857481,0
540395,6860780,0
542341,6864920,0
542365,6865256,0
542381,6865468,0
542262,6868076,0
542040,6873952,0
541844,6876863,0
542576,6882216,0
542755,6882966,0
542880,6883487,0
543376,6885548,0
543756,6887882,1
543696,6889862,1
